datasetId,openFemaDataSet,datasetVersion,name,title,description,type,sortOrder,isSearchable,isNestedObject,isNullable,primaryKey,id,lastRefresh,hash
openfema-74,FimaNfipPolicies,2,policyTerminationDate,Policy Termination Date,"Date upon which the cancellation of a flood insurance policy becomes effective - either because it was cancelled or lapsed. When time is not specified in the field, it will default to T00:00:00.000Z",date,29,1,0,1,0,35585a62-e131-4ee1-b5a7-b3ef25def702,2023-07-24T21:02:46.064Z,65759a788bb848879b8c80e50ce869b3a0124d9c
openfema-60,PublicAssistanceApplicantsProgramDeliveries,1,declarationType,Declaration Type,"Two character code that defines if this is a major disaster or emergency declaration. For more information on the disaster process, please visit https://www.fema.gov/disasters/how-declared",text,1,1,0,0,0,c72f6419-d1e9-4111-aa69-4ee2a4ee8914,2023-09-28T21:22:19.859Z,3ebf26a533185bd2892241da80ed4434b1c4780a
openfema-70,HmaSubapplicationsProjectSiteInventories,1,subapplicationId,Subapplication Identifier,Single-value that uniquely identifies the subapplication/subgrant. The Subapplication Identifier is made up of the [FEMA Organization Code][FEMA Region Letter Code]-[Fiscal Year Opportunity]-[Program Code]-[Application Number]-[Subapplication Number]. This is a system generated field in FEMA GO.,text,1,1,0,0,0,986f2255-674e-40b5-b7ea-3bcbbf07d9a1,2023-09-28T21:22:19.859Z,8739b75e9ba4095ff12818f9225defa5ae9b35f3
openfema-70,HmaSubapplicationsProjectSiteInventories,1,projectSiteInventoryId,Project Site Inventory Identifier,Single value that uniquely identifies the project site inventory. This is a system generated field in FEMA GO for all Project Site Inventory Types.,integer,2,1,0,0,1,1d255440-1463-406c-9e30-020b500792c1,2023-09-28T21:22:19.859Z,39997be550e163a9b2bc900f4b67be7947f6d5d3
openfema-70,HmaSubapplicationsProjectSiteInventories,1,projectSiteInventoryType,Project Site Inventory Type,"Type of project site inventory (i.e., Building, Vacant land, Utility/Infrastructure/Other). This is a required field in the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,3,1,0,0,0,1025c6be-5714-4d7e-bafd-45a1b0f59fde,2023-09-28T21:22:19.859Z,46076389a185b17c39f14ecaecc0d264bd8b9b4e
openfema-70,HmaSubapplicationsProjectSiteInventories,1,primaryActivity,Primary Activity,"Primary mitigation activity associated with the project site inventory (e.g., Acquisition, Elevation, Flood Mitigation, etc.). This is a required field in the Mitigation Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,4,1,0,1,0,0d9e627c-4d4b-477e-a512-6b16e53acf21,2023-09-28T21:22:19.859Z,7a30531908122a0afe9496be7e1b83ca427b2813
openfema-70,HmaSubapplicationsProjectSiteInventories,1,secondaryActivity,Secondary Activity,"Secondary mitigation activity associated with the project site inventory (e.g., Acquisition, Elevation, Flood Mitigation, etc.). This is an optional field in the Mitigation Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,5,1,0,1,0,396f0022-8319-4083-86c3-f6e57543ca1f,2023-09-28T21:22:19.859Z,94f2a20683c7011b22223698f4350398e1b162dd
openfema-70,HmaSubapplicationsProjectSiteInventories,1,primaryHazard,Primary Hazard,"Primary hazard associated with the project site inventory (e.g., Flooding, Fire, Tornado, etc.). This is a required field in the Mitigation Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,6,1,0,1,0,8d2b1191-4754-41c7-befe-ac62105aa3ea,2023-09-28T21:22:19.859Z,0a64066cf3de80f9caef5926472389876b33570f
openfema-70,HmaSubapplicationsProjectSiteInventories,1,secondaryHazard,Secondary Hazard,"Secondary hazard associated with the project site inventory (e.g., Flooding, Fire, Tornado, etc.). This is an optional field in the Mitigation Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types",text,7,1,0,1,0,e9e1e5ed-9657-4cae-8a92-54a881a8e212,2023-09-28T21:22:19.859Z,4f77046d1dc201ff3cbf47c0e0d3a50c56783f70
openfema-70,HmaSubapplicationsProjectSiteInventories,1,city,City,"Name of the City associated with the project site inventory (e.g., Chicago). This is a required field in the Location Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,8,1,0,1,0,1c3cd97c-51bc-4ea3-a8cf-6f17b7c12d9e,2023-09-28T21:22:19.859Z,21be3f25a20237264c3b41921df5e2c044791ba8
openfema-70,HmaSubapplicationsProjectSiteInventories,1,countyCode,County Code,"Identifier assigned to the County or County equivalent associated with the project site inventory (e.g., 031 represents Cook County). This is a system generated field in the Location Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types that is dependent on the County.",text,9,1,0,1,0,b9dab4c7-d016-4781-aef0-10ab5d914a8e,2023-09-28T21:22:19.859Z,888efe142a11fa979115a94d8d6cca1fd0d3d477
openfema-70,HmaSubapplicationsProjectSiteInventories,1,county,County,"Name of the County or County equivalent associated with the project site inventory (e.g., Cook County). This is a required field in the Location Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types",text,10,1,0,1,0,9910a002-07ef-4651-b465-40494cdc9cb8,2023-09-28T21:22:19.859Z,fa359fa94cb34b4e6f1a44a4703eb83bc715c74f
openfema-70,HmaSubapplicationsProjectSiteInventories,1,stateCode,State Code,"Identifier assigned to the State associated with the project site inventory (e.g., 17 represents Illinois). This is a system generated field in the Location Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types that is dependent on the State Abbreviation.",text,11,1,0,1,0,f89df790-28c5-485c-9314-78e053fa69dc,2023-09-28T21:22:19.859Z,27dcd5b1392ceada5731dbe9711e0ff4bff98d23
openfema-70,HmaSubapplicationsProjectSiteInventories,1,stateAbbreviation,State Abbreviation,"Two letter abbreviation of the State (e.g., IL represents Illinois) associated with the project site inventory. This is a required field in the Location Information subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,12,1,0,1,0,a037fa92-cead-4cab-9dc7-9cfd16431ab3,2023-09-28T21:22:19.859Z,7643638303645675b3b5510aaff4ef31b1bf006e
openfema-70,HmaSubapplicationsProjectSiteInventories,1,zipcode,Zipcode,"Five digit ZIP Code associated with the project site inventory (e.g., 60614). This is an optional field in the Location Information subsection from the Project Site Inventory section in FEMA GO for Infrastructure/Utility/Other Project Site Inventory Types. This is a required field in FEMA GO for Building and Vacant land Project Site Inventory Types.",text,13,1,0,1,0,f104f717-8d60-450a-bc4a-57cc52c6e9c6,2023-09-28T21:22:19.859Z,6731d0acfb71cc0febdc43b12ee098a5da89cc9e
openfema-70,HmaSubapplicationsProjectSiteInventories,1,structureType,Structure Type,"Type of structure (e.g., Government, etc.). This is a required field in the Structure Attributes subsection from the Project Site Inventory section in FEMA GO for all Project Site Inventory Types.",text,14,1,0,1,0,01e426cf-05a3-4bd2-9206-27bcfb8c0c97,2023-09-28T21:22:19.859Z,170a9cc40c20e106d7c9e10b4439f64b64ab70fc
openfema-70,HmaSubapplicationsProjectSiteInventories,1,structurePrimarySubtype,Structure Primary Subtype,"Primary subtype of structure (e.g., Emergency Response, etc.). This is a conditional field in the Structure Attributes subsection from the Project Site Inventory section in FEMA GO for Building and Infrastructure/Utility/Other Project Site Inventory Types that is dependent on select Structure Types.",text,15,1,0,1,0,71ce0e97-31fb-439e-b480-9471cf1c235a,2023-09-28T21:22:19.859Z,922343d01697efb533c97ca9b35e754a056daee6
openfema-33,MissionAssignments,1,maId,Mission Assignment Identifier,"Identifier for request, used to aggregate funding across multiple days",text,1,1,0,0,0,b0e53018-fe1b-4df5-82ee-4a6e6740202e,2024-01-30T22:46:22.806Z,d576096c2f22613145211646af9717efe752afb5
openfema-75,NfipCommunityLayerNoOverlapsWhole,1,id,Record Identifier,Unique ID assigned to the record,integer,1,1,0,0,1,2860b5da-4dee-4a2d-83fd-fd58a1250a0e,2024-02-09T21:50:43.216Z,8d0ea5710fdad18e58e7f6c20859368b307fd332
openfema-70,HmaSubapplicationsProjectSiteInventories,1,structureSecondarySubtype,Structure Secondary Subtype,"Secondary subtype of structure (e.g., Fire Station, etc.). This is a conditional field in the Structure Attributes subsection from the Project Site Inventory section in FEMA GO for Building Project Site Inventory Types that is dependent on select Structure Primary Subtypes.",text,16,1,0,1,0,abffbce9-b279-436f-9b5c-beacc8070f4c,2023-09-28T21:22:19.859Z,155ec5c2efe30a2970d6c9f5a02019ee4042b381
openfema-70,HmaSubapplicationsProjectSiteInventories,1,foundationType,Foundation Type,"Type of foundation (e.g., Crawl Space not below ground on all sides, Basement below ground on all sides (split-level), Slab on Grade (split level), etc.). This is a required field in the Structure Attributes subsection from the Project Site Inventory section in FEMA GO for Building Project Site Inventory Types.",text,17,1,0,1,0,3dcdd0cd-9379-4bd3-84f1-2652f45ed14c,2023-09-28T21:22:19.859Z,0fa1616dd9ea855577aff352c221e9edf886601b
openfema-70,HmaSubapplicationsProjectSiteInventories,1,buildingSize,Building Size,Size of building in square feet. This is a required field in the Structure Attributes subsection from the Project Site Inventory section in FEMA GO for Building Project Site Inventory Types.,"decimal(12,1)",18,1,0,1,0,4d66c91a-1605-482e-a52f-d2e20b52c964,2023-09-28T21:22:19.859Z,967bc7faebe7f5e55a27a68f0a4a06f825aa0f12
